t,y,y_true,y_hat,err,sched
0,-0.02608019352765943,-0.010265915447821416,-0.010714665449379627,0.0004487500015582114,1.0
1,0.009388608219060566,-0.02608019352765943,-0.016777207771016184,-0.009302985756643248,0.9998026241462927
2,-0.012408214256409764,0.009388608219060566,-0.016049023527746002,0.02543763174680657,0.9992106913713086
3,0.01550537644851662,-0.012408214256409764,-0.014426454628941411,0.002018240372531647,0.9982247858412321
4,-0.02031990339499162,0.01550537644851662,-0.013073200917232599,0.028578577365749216,0.9968458805257912
5,-0.021045552840421956,-0.02031990339499162,-0.009242475185740763,-0.011077428209250857,0.9950753362380551
6,-0.030131051322123754,-0.021045552840421956,-0.009916302125883477,-0.011129250714538479,0.9929149002914757
7,-0.01056076250151811,-0.030131051322123754,-0.01273796594472096,-0.017393085377402792,0.9903667047754989
8,-0.031684888732976264,-0.01056076250151811,-0.012169256383582605,0.0016084938820644951,0.9874332644514525
9,-0.03386019814138668,-0.031684888732976264,-0.015049004192340154,-0.01663588454063611,0.9841174742707772
10,-0.062103298177813786,-0.03386019814138668,-0.013090331938853207,-0.020769866202533474,0.9804226065180615
11,-0.0923948950810869,-0.062103298177813786,-0.028312702421905762,-0.03379059575590802,0.9763523075816902
12,-0.06790227456915941,-0.0923948950810869,-0.02839018375814336,-0.06400471132294355,0.9719105943553006
13,-0.1001674367409138,-0.06790227456915941,-0.022100782985204504,-0.04580149158395491,0.9671018502735924
14,-0.09334357896332227,-0.1001674367409138,-0.030468734122186994,-0.06969870261872681,0.9619308209864079
15,-0.09950807120458666,-0.09334357896332227,-0.04555256649561741,-0.047791012467704855,0.9564026096753471
16,-0.12716574606527417,-0.09950807120458666,-0.050043661657740664,-0.04946440954684599,0.9505226720175455
17,-0.11917688723057819,-0.12716574606527417,-0.04461232968387608,-0.0825534163813981,0.9442968108015775
18,-0.12132612931962963,-0.11917688723057819,-0.07026823525268791,-0.04890865197789028,0.937731170200806
19,-0.09056325467065235,-0.12132612931962963,-0.0855774196523226,-0.03574870966730703,0.9308322297098248
20,-0.11063479191544207,-0.09056325467065235,-0.1000290827405097,0.009465828069857352,0.9236067977499791
21,-0.1386150699798363,-0.11063479191544207,-0.06470704396872293,-0.04592774794671914,0.9160620049502761
22,-0.15211205457549745,-0.1386150699798363,-0.06576521736333234,-0.07284985261650397,0.9082052971103158
23,-0.11631523739880195,-0.15211205457549745,-0.09598964623678743,-0.05612240833871002,0.900044427852184
24,-0.11346748035127432,-0.11631523739880195,-0.09348673223904877,-0.022828505159753182,0.8915874509685646
25,-0.10960635772915747,-0.11346748035127432,-0.10565515553169795,-0.0078123248195763745,0.882842712474619
26,-0.1183051444688392,-0.10960635772915747,-0.0844428836771907,-0.02516347405196677,0.8738188423714754
27,-0.13361419598957122,-0.1183051444688392,-0.08892453709738528,-0.029380607371453926,0.8645247461294607
28,-0.14974085679798255,-0.13361419598957122,-0.08820807934425093,-0.045406116645320294,0.8549695958994759
29,-0.14201304025778663,-0.14974085679798255,-0.10697342316127995,-0.0427674336367026,0.8451628214611906
30,-0.14687372993493086,-0.14201304025778663,-0.10611641087185072,-0.03589662938593591,0.8351141009169893
31,-0.14959708270612682,-0.14687372993493086,-0.11646908252464429,-0.030404647410286575,0.8248333511408523
32,-0.1414919315758288,-0.14959708270612682,-0.1299652042381473,-0.019631878467979508,0.8143307179915986
33,-0.14517370557487036,-0.1414919315758288,-0.0723867575576244,-0.06910517401820439,0.8036165663001487
34,-0.14482346832983828,-0.14517370557487036,-0.13486306027496908,-0.010310645299901278,0.7927014696406862
35,-0.12037958931333274,-0.14482346832983828,-0.1286456187701751,-0.01617784955966317,0.7815961998958187
36,-0.1259483317325668,-0.12037958931333274,-0.09032305142780359,-0.030056537885529158,0.7703117166260292
37,-0.1270712076538943,-0.1259483317325668,-0.13687889493358593,0.010930563201019122,0.7588591562539122
38,-0.10183322352256838,-0.1270712076538943,-0.131244173758335,0.004172966104440706,0.7472498210738714
39,-0.11598068580254921,-0.10183322352256838,-0.15512370798507674,0.053290484462508364,0.7354951680981168
40,-0.12363228390276303,-0.11598068580254921,-0.11922747908231328,0.003246793279764071,0.7236067977499789
41,-0.13166199016407168,-0.12363228390276303,-0.13244143372176373,0.008809149819000703,0.7115964424156918
42,-0.10950527792550971,-0.13166199016407168,-0.09010001351482315,-0.04156197664924853,0.6994759548659419
43,-0.06481437193917698,-0.10950527792550971,-0.1307853907600422,0.02128011283453249,0.6872572965586171
44,-0.04081376992925996,-0.06481437193917698,-0.04955647685505135,-0.01525789508412563,0.6749525258342899
45,-0.06364018663140468,-0.04081376992925996,-0.09896178449876557,0.05814801456950561,0.6625737860160924
46,-0.07720533360432534,-0.06364018663140468,-0.14152261614010078,0.0778824295086961,0.6501332934257218
47,-0.09448722849530955,-0.07720533360432534,-0.1129296671541694,0.035724333549844056,0.6376433253274058
48,-0.1338511840199522,-0.09448722849530955,-0.10520733676897565,0.010720108273666096,0.6251162078117254
49,-0.1082839631047205,-0.1338511840199522,-0.07554943168549985,-0.05830175233445234,0.6125643036312514
50,-0.07110976138658641,-0.1082839631047205,-0.09206610311630498,-0.016217859988415517,0.6000000000000001
51,-0.09784940646182268,-0.07110976138658641,-0.07471313900929481,0.0036033776227084036,0.5874356963687487
52,-0.11968735277948848,-0.09784940646182268,-0.14010757327645118,0.0422581668146285,0.5748837921882747
53,-0.13532164807998384,-0.11968735277948848,-0.10013756352236194,-0.01954978925712654,0.5623566746725943
54,-0.17389276295594572,-0.13532164807998384,-0.10132373281983001,-0.03399791526015383,0.5498667065742784
55,-0.16832904746442667,-0.17389276295594572,-0.12123913146179977,-0.05265363149414595,0.5374262139839077
56,-0.17398825756872185,-0.16832904746442667,-0.10546697474247206,-0.06286207272195461,0.5250474741657102
57,-0.15951831347883536,-0.17398825756872185,-0.10468018100760722,-0.06930807656111464,0.5127427034413832
58,-0.15940842540332018,-0.15951831347883536,-0.12779461466081282,-0.03172369881802253,0.500524045134058
59,-0.18072572945529852,-0.15940842540332018,-0.13345182125097738,-0.0259566041523428,0.48840355758430837
60,-0.15042102343690766,-0.18072572945529852,-0.12448351439738142,-0.0562422150579171,0.4763932022500212
61,-0.15865302647599244,-0.15042102343690766,-0.1377747849326344,-0.012646238504273266,0.46450483190188346
62,-0.15045591834511532,-0.15865302647599244,-0.08777247653981744,-0.070880549936175,0.45275017892612895
63,-0.1500687653648498,-0.15045591834511532,-0.15843068034544,0.007974762000324681,0.44114084374608775
64,-0.14770468960624744,-0.1500687653648498,-0.1031372077347403,-0.046931557630109505,0.42968828337397097
65,-0.13554353035875263,-0.14770468960624744,-0.11411098784308842,-0.033593701763159026,0.4184038001041813
66,-0.11480051721728546,-0.13554353035875263,-0.1177845099008286,-0.017759020457924032,0.40729853035931385
67,-0.09567830534970104,-0.11480051721728546,-0.16766256109639976,0.05286204387911431,0.3963834336998515
68,-0.152184115187654,-0.09567830534970104,-0.16709380785783684,0.0714155025081358,0.3856692820084013
69,-0.1534868207850612,-0.152184115187654,-0.0990427426050745,-0.05314137258257952,0.37516664885914774
70,-0.15139609289884778,-0.1534868207850612,-0.11123602143045987,-0.04225079935460134,0.36488589908301083
71,-0.13365402880863952,-0.15139609289884778,-0.1602215987323479,0.008825505833500114,0.35483717853880936
72,-0.1317875155007281,-0.13365402880863952,-0.12466180270619852,-0.008992226102441006,0.3450304041005241
73,-0.1488492345193857,-0.1317875155007281,-0.09776100552854003,-0.03402650997218806,0.33547525387053934
74,-0.1524598584434644,-0.1488492345193857,-0.14533963459819324,-0.003509599921192458,0.3261811576285245
75,-0.14808613224064854,-0.1524598584434644,-0.11953394281357389,-0.032925915629890515,0.317157287525381
76,-0.18088633655292574,-0.14808613224064854,-0.14103676765387016,-0.007049364586778378,0.3084125490314355
77,-0.1771158922505071,-0.18088633655292574,-0.07844574741197,-0.10244058914095575,0.2999555721478162
78,-0.17888536056346235,-0.1771158922505071,-0.15696582266035813,-0.020150069590148978,0.29179470288968434
79,-0.16539700953216926,-0.17888536056346235,-0.11211171256616817,-0.06677364799729418,0.28393799504972383
80,-0.11853919104958516,-0.16539700953216926,-0.15993816525716256,-0.005458844275006702,0.27639320225002106
81,-0.12710326704933705,-0.11853919104958516,-0.18060292572034325,0.0620637346707581,0.26916777029017536
82,-0.11932006821747991,-0.12710326704933705,-0.13049365287777717,0.003390385828440118,0.2622688297991941
83,-0.09283442302258678,-0.11932006821747991,-0.10675815773000773,-0.012561910487472183,0.2557031891984225
84,-0.14197139377538945,-0.09283442302258678,-0.12754535914062215,0.03471093611803537,0.2494773279824546
85,-0.1667193682117204,-0.14197139377538945,-0.1371394506719329,-0.004831943103456554,0.24359739032465288
86,-0.15029177892030027,-0.1667193682117204,-0.11470747910209941,-0.052011889109620985,0.23806917901359226
87,-0.13769457054823542,-0.15029177892030027,-0.15447281066866378,0.004181031748363512,0.23289814972640766
88,-0.12060595579810798,-0.13769457054823542,-0.1160265153320581,-0.021668055216177318,0.22808940564469948
89,-0.10415918635424662,-0.12060595579810798,-0.14493412540189216,0.024328169603784172,0.22364769241830984
90,-0.11851954215671802,-0.10415918635424662,-0.1575477521810623,0.05338856582681567,0.2195773934819386
91,-0.08689796559870482,-0.11851954215671802,-0.14871261675117217,0.030193074594454153,0.21588252572922284
92,-0.07988708711526131,-0.08689796559870482,-0.12295389466579931,0.0360559290670945,0.21256673554854763
93,-0.05708695565258318,-0.07988708711526131,-0.1477120870738364,0.06782499995857509,0.20963329522450108
94,-0.0735706809762916,-0.05708695565258318,-0.11615111482676661,0.059064159174183437,0.2070850997085245
95,-0.08564487655931702,-0.0735706809762916,-0.1332338291434833,0.059663148167191704,0.20492466376194496
96,-0.08528253351562666,-0.08564487655931702,-0.15151276398288036,0.06586788742356334,0.20315411947420892
97,-0.06802506047388993,-0.08528253351562666,-0.13326092683098495,0.04797839331535829,0.201775214158768
98,-0.0760017625576667,-0.06802506047388993,-0.12791884696140324,0.05989378648751331,0.20078930862869138
99,-0.06987531888392258,-0.0760017625576667,-0.10619057765674596,0.030188815099079253,0.20019737585370737
100,-0.049439134492343766,-0.06987531888392258,-0.061128616129453736,-0.008746702754468844,0.2
101,0.01590225180366015,-0.049439134492343766,-0.1448521320559139,0.09541299756357013,0.20019737585370737
102,0.025981604660969857,0.01590225180366015,-0.12962640114038843,0.14552865294404857,0.20078930862869138
103,0.03886878145515722,0.025981604660969857,-0.08336536835892014,0.10934697301988999,0.201775214158768
104,0.03273961377446661,0.03886878145515722,-0.11780883490805026,0.15667761636320748,0.20315411947420886
105,-0.006606350079029357,0.03273961377446661,-0.11813492311430773,0.15087453688877434,0.2049246637619449
106,0.008061028512686827,-0.006606350079029357,-0.09203395068482863,0.08542760060579926,0.20708509970852457
107,-0.007817455601830878,0.008061028512686827,-0.1112151903580931,0.11927621887077992,0.20963329522450103
108,-0.022100899270802915,-0.007817455601830878,-0.11075431414136822,0.10293685853953734,0.21256673554854755
109,-0.016979961431747126,-0.022100899270802915,-0.12265814158026728,0.10055724230946436,0.21588252572922273
110,-0.023911260361823405,-0.016979961431747126,-0.09988284807595714,0.08290288664421001,0.21957739348193855
111,-0.04396599974149513,-0.023911260361823405,-0.08889489236635915,0.06498363200453575,0.22364769241830984
112,-0.04475184014365252,-0.04396599974149513,-0.11846056992717921,0.07449457018568409,0.22808940564469943
113,-0.06805546925024053,-0.04475184014365252,-0.09294525914435459,0.048193419000702065,0.23289814972640752
114,-0.06404787586609595,-0.06805546925024053,-0.08552293516304219,0.017467465912801655,0.23806917901359215
115,-0.08221071527817125,-0.06404787586609595,-0.08352704813288078,0.019479172266784833,0.24359739032465294
116,-0.08854142706070015,-0.08221071527817125,-0.08096888607668,-0.001241829201491254,0.24947732798245462
117,-0.06612540945540166,-0.08854142706070015,-0.08687390839762175,-0.0016675186630783906,0.25570318919842255
118,-0.06510949997059663,-0.06612540945540166,-0.09166466511121513,0.02553925565581347,0.26226882979919397
119,-0.11698677512032948,-0.06510949997059663,-0.0695151336083181,0.004405633637721465,0.2691677702901752
120,-0.17413246633927953,-0.11698677512032948,-0.09287964760365855,-0.024107127516670934,0.2763932022500209
121,-0.1773199452231663,-0.17413246633927953,-0.06887285725824123,-0.1052596090810383,0.2839379950497239
122,-0.14264059445549981,-0.1773199452231663,-0.08269400561778582,-0.09462593960538047,0.29179470288968434
123,-0.1026627027190712,-0.14264059445549981,-0.08422381711426961,-0.0584167773412302,0.29995557214781615
124,-0.10121617193517027,-0.1026627027190712,-0.07576763603463119,-0.026895066684440014,0.3084125490314353
125,-0.07430543324163046,-0.10121617193517027,-0.059421557075829814,-0.041794614859340454,0.31715728752538086
126,-0.0556501987380804,-0.07430543324163046,-0.0918534991767669,0.017548065935136442,0.32618115762852457
127,-0.029506184516921517,-0.0556501987380804,-0.07873922116766391,0.02308902242958351,0.3354752538705392
128,-0.023631925397377566,-0.029506184516921517,-0.07426230195433933,0.044756117437417815,0.3450304041005242
129,0.004205492292175274,-0.023631925397377566,-0.08062995909434512,0.05699803369696755,0.3548371785388094
130,0.0033716938594786777,0.004205492292175274,-0.07053150195478655,0.07473699424696183,0.3648858990830107
131,0.017466362459716278,0.0033716938594786777,-0.08481657753898211,0.08818827139846079,0.37516664885914763
132,0.06828876800789985,0.017466362459716278,-0.07441172445846243,0.09187808691817871,0.3856692820084015
133,0.04684837430085335,0.06828876800789985,-0.04251930341320229,0.11080807142110213,0.3963834336998516
134,0.014740939526746115,0.04684837430085335,-0.0759913267594354,0.12283970106028874,0.40729853035931396
135,0.06126907685003149,0.014740939526746115,-0.06509981058815324,0.07984075011489936,0.4184038001041812
136,0.0443679878545287,0.06126907685003149,-0.05413970959352483,0.11540878644355632,0.42968828337397114
137,0.07807337985571405,0.0443679878545287,-0.07445948518265626,0.11882747303718497,0.4411408437460879
138,0.07781433087461422,0.07807337985571405,-0.05164612676178741,0.12971950661750148,0.4527501789261289
139,0.0891327700912173,0.07781433087461422,-0.016654058497332695,0.0944683893719469,0.46450483190188346
140,0.10471293298861047,0.0891327700912173,-0.05062777595607507,0.13976054604729238,0.476393202250021
141,0.15065513481635456,0.10471293298861047,-0.03114008461232628,0.13585301760093674,0.4884035575843082
142,0.14400123904021106,0.15065513481635456,-0.02498104672197135,0.17563618153832591,0.5005240451340582
143,0.18922293385472153,0.14400123904021106,-0.017927480197921307,0.16192871923813237,0.5127427034413831
144,0.20487432999325147,0.18922293385472153,-0.002937191328604691,0.1921601251833262,0.5250474741657102
145,0.20468761953154815,0.20487432999325147,0.008812710533535849,0.19606161945971562,0.5374262139839077
146,0.20245542482552364,0.20468761953154815,0.023254424931615114,0.18143319459993304,0.5498667065742782
147,0.19683736100089283,0.20245542482552364,0.04284564977909651,0.15960977504642715,0.5623566746725944
