t,y,y_hat,err,sched
0,-0.030302546213276833,0.008472809707262857,-0.028967774752318338,1.0
1,-0.03450421345172939,0.01569766807229679,-0.046000214285573625,0.9998026241462927
2,-0.03782766289573577,0.001980347377114673,-0.03648456082884406,0.9992106913713086
3,-0.016920236943008284,-0.007275758981791234,-0.030551903913944536,0.9982247858412321
4,-0.002426958686132668,-0.009284227789472712,-0.007636009153535572,0.9968458805257912
5,0.0031785419800462885,-0.010497299611062234,0.008070340924929566,0.9950753362380551
6,-0.039646021950424944,-0.009051018676328498,0.012229560656374787,0.9929149002914757
7,-0.007897460070541276,-0.007915153941178157,-0.031730868009246786,0.9903667047754989
8,-0.017350454481139983,-0.012161102376094846,0.00426364230555357,0.9874332644514525
9,-0.019128996998088715,-0.010757929563889834,-0.00659252491725015,0.9841174742707772
10,-0.003074302518076317,-0.01737057815835749,-0.0017584188397312232,0.9804226065180615
11,0.005570931383185239,-0.012647847939806984,0.009573545421730667,0.9763523075816902
12,0.01723924505058346,-0.011269646796868238,0.016840578180053477,0.9719105943553006
13,0.05490299227154899,-0.0077099411517632735,0.024949186202346735,0.9671018502735924
14,0.0853492604872632,0.0004065825515435664,0.054496409720005426,0.9619308209864079
15,0.09353406272283182,0.007882811562043198,0.07746644892522,0.9564026096753471
16,0.08756640458872779,0.021093975644305846,0.07244008707852598,0.9505226720175455
17,0.08440293686334643,0.040524341331005964,0.047042063257721825,0.9442968108015775
18,0.06996855894604206,0.04859779982856441,0.035805137034782025,0.937731170200806
19,0.056876824539657,0.04796319856293443,0.022005360383107637,0.9308322297098248
20,0.03537016513772833,0.04435047403384669,0.012526350505810309,0.9236067977499791
21,0.025882606267069865,0.06451318047705117,-0.029143015339322835,0.9160620049502761
22,-0.013946406876841816,0.03625717852046878,-0.010374572253398915,0.9082052971103158
23,-0.04781845505027201,0.0593042550654818,-0.07325066194232362,0.900044427852184
24,-0.023471033758917056,0.02708119712144274,-0.07489965217171475,0.8915874509685646
25,-0.03519110268520983,0.025728974783485445,-0.0492000085424025,0.882842712474619
26,-0.057670774472219605,0.017164956048060925,-0.052356058733270754,0.8738188423714754
27,-0.0449904397599294,0.007526862649304784,-0.06519763712152439,0.8645247461294607
28,-0.10480693523389285,0.0025334173602529885,-0.04752385712018239,0.8549695958994759
29,-0.1157927478867678,-0.0024871725689922437,-0.10231976266490062,0.8451628214611906
30,-0.10479466031673544,-0.018162132225045285,-0.09763061566172251,0.8351141009169893
31,-0.09922987428783503,-0.033072162746953584,-0.07172249756978186,0.8248333511408523
32,-0.10520830486466123,-0.04355681477480085,-0.05567305951303418,0.8143307179915986
33,-0.11617698666193656,-0.04725605437084869,-0.05795225049381254,0.8036165663001487
34,-0.10875966445230432,-0.050767349858642806,-0.06540963680329376,0.7927014696406862
35,-0.1211498972132293,-0.05556627085115352,-0.05319339360115081,0.7815961998958187
36,-0.10607411390115574,-0.06509322861236645,-0.05605666860086285,0.7703117166260292
37,-0.1096354639936082,-0.08833955307556614,-0.017734560825589607,0.7588591562539122
38,-0.10080228163507207,-0.06856999331546446,-0.04106547067814374,0.7472498210738714
39,-0.10034096816514007,-0.08869143599112471,-0.012110845643947363,0.7354951680981168
40,-0.1563129239263051,-0.04743469714253567,-0.0529062710226044,0.7236067977499789
41,-0.15892469992847527,-0.05103088668467903,-0.10528203724162608,0.7115964424156918
42,-0.1546270588876903,-0.09111453689920493,-0.06781016302927034,0.6994759548659419
43,-0.15209234065146807,-0.12338999848023649,-0.031237060407453804,0.6872572965586171
44,-0.1511131480939405,-0.06028254332075757,-0.0918097973307105,0.6749525258342899
45,-0.15096921739343874,-0.11606200261070448,-0.03505114548323601,0.6625737860160924
46,-0.12734347475112634,-0.11023419984149,-0.04073501755194875,0.6501332934257218
47,-0.15011801460154797,-0.1198755567660225,-0.007467917985103836,0.6376433253274058
48,-0.13776346535747347,-0.12307502410519784,-0.02704299049635013,0.6251162078117254
49,-0.09368217077429579,-0.14986559105105082,0.012102125693577354,0.6125643036312514
50,-0.09743737290639874,-0.1252038604730811,0.03152168969878531,0.6000000000000001
51,-0.09391482086356356,-0.11714284141247157,0.019705468506072826,0.5874356963687487
52,-0.08112216257974883,-0.0786455189350456,-0.01526930192851797,0.5748837921882747
53,-0.04526894122027117,-0.06686477969179261,-0.014257382887956221,0.5623566746725943
54,-0.019393146553620424,-0.09725325862516858,0.05198431740489741,0.5498667065742784
55,-0.02158112582738215,-0.13577918535528496,0.11638603880166454,0.5374262139839077
56,-0.008089254016698709,-0.10531711024566245,0.08373598441828031,0.5250474741657102
57,-0.029167291541723907,-0.09292325101123936,0.08483399699454064,0.5127427034413832
58,-0.059656705695395135,-0.06817355515410699,0.03900626361238308,0.500524045134058
59,-0.03035387222327283,-0.0973145914373244,0.03765788574192927,0.48840355758430837
60,-0.016994747564745255,-0.10988702815395265,0.07953315593067982,0.4763932022500212
61,-0.040538508550295435,-0.07930153849929522,0.062306790934549966,0.46450483190188346
62,-0.02973472450355472,-0.05575855481766239,0.015220046267366956,0.45275017892612895
63,-0.021247235709809246,-0.07261875596473508,0.04288403146118036,0.44114084374608775
64,-0.05257025492028592,-0.05548349402072673,0.03423625831091748,0.42968828337397097
65,-0.05845926369193829,-0.04964306405105493,-0.002927190869230989,0.4184038001041813
66,-0.0732861001248571,-0.04993617865537075,-0.00852308503656754,0.40729853035931385
67,-0.07866822355467452,-0.060048442668478204,-0.0132376574563789,0.3963834336998515
68,-0.04380813117578671,-0.06298768281727576,-0.01568054073739876,0.3856692820084013
69,-0.04526171157350579,-0.052324927773611675,0.008516796597824963,0.37516664885914774
70,-0.07581606149882873,-0.08081495322713786,0.03555324165363207,0.36488589908301083
71,-0.10325823123277399,-0.07243068722812136,-0.0033853742707073697,0.35483717853880936
72,-0.12979810107843265,-0.05118787913498818,-0.05207035209778581,0.3450304041005241
73,-0.13573671577191462,-0.0710013905519152,-0.05879671052651744,0.33547525387053934
74,-0.1507053977502035,-0.06103544120975721,-0.07470127456215742,0.3261811576285245
75,-0.161203752587123,-0.08127230484285247,-0.06943309290735103,0.317157287525381
76,-0.1651509712739662,-0.0479159034221595,-0.1132878491649635,0.3084125490314355
77,-0.19057941968459816,-0.08664318503522758,-0.07850778623873861,0.2999555721478162
78,-0.20367180902693027,-0.08911509712610174,-0.10146432255849641,0.29179470288968434
79,-0.19688986472400416,-0.09162262037040202,-0.11204918865652826,0.28393799504972383
80,-0.16876445672427098,-0.09139013231794865,-0.10549973240605551,0.27639320225002106
81,-0.1501149665691399,-0.0951064676092093,-0.07365798911506169,0.26916777029017536
82,-0.16839063324026798,-0.0840003187906263,-0.06611464777851359,0.2622688297991941
83,-0.13434482931653385,-0.11033998102737515,-0.058050652212892837,0.2557031891984225
84,-0.1467728882036289,-0.07915626688439402,-0.055188562432139834,0.2494773279824546
85,-0.14018406983825424,-0.09470013343923366,-0.052072754764395254,0.24359739032465288
86,-0.1260722958899392,-0.07638026596115606,-0.06380380387709818,0.23806917901359226
87,-0.1461827743884893,-0.11550862370152426,-0.010563672188414946,0.23289814972640766
88,-0.12462926112243089,-0.10901839940657299,-0.037164374981916326,0.22808940564469948
89,-0.1555245400298888,-0.11012137826577548,-0.014507882856655413,0.22364769241830984
90,-0.1843084075133739,-0.11917196841062874,-0.03635257161926006,0.2195773934819386
91,-0.1772117027430691,-0.09268801362584063,-0.09162039388753328,0.21588252572922284
92,-0.14786118742137772,-0.1002469867570955,-0.07696471598597361,0.21256673554854763
93,-0.18004501148079327,-0.09394183321537641,-0.0539193542060013,0.20963329522450108
94,-0.21989825015631714,-0.06619681442534037,-0.1138481970554529,0.2070850997085245
95,-0.24620336988592512,-0.10941205244248,-0.11048619771383714,0.20492466376194496
96,-0.2732170691504455,-0.11691750108028172,-0.1292858688056434,0.20315411947420892
97,-0.24087661088573376,-0.11924021482598499,-0.15397685432446054,0.201775214158768
98,-0.21335688817446044,-0.14872477097446357,-0.09215183991127018,0.20078930862869138
99,-0.21819872620617675,-0.07759693250701129,-0.13575995566744914,0.20019737585370737
100,-0.20173554871020447,-0.12927611920020643,-0.08892260700597032,0.2
101,-0.22880966097559277,-0.1306325954650741,-0.07110295324513036,0.20019737585370737
102,-0.1993582818716954,-0.12247342993052984,-0.10633623104506293,0.20078930862869138
103,-0.1893431136234461,-0.13497215225521764,-0.06438612961647777,0.201775214158768
104,-0.17366187790161536,-0.16184208007790046,-0.027501033545545644,0.20315411947420886
105,-0.19406382066339917,-0.15470911968889156,-0.018952758212723797,0.2049246637619449
106,-0.1975999023240014,-0.17422493563579952,-0.019838885027599645,0.20708509970852457
107,-0.20859175943247846,-0.10349345477166855,-0.09410644755233286,0.20963329522450103
108,-0.18322165008287575,-0.1808131408325854,-0.027778618599893057,0.21256673554854755
109,-0.15855470021569334,-0.17269839198537093,-0.010523258097504817,0.21588252572922273
110,-0.16597523561975258,-0.1755828984167745,0.017028198201081146,0.21957739348193855
111,-0.15839652944532703,-0.1224383430131052,-0.04353689260664738,0.22364769241830984
112,-0.15927117130525983,-0.14341063790296033,-0.014985891542366708,0.22808940564469943
113,-0.12905834931720728,-0.162012357712231,0.002741186406971158,0.23289814972640752
114,-0.10620858534744193,-0.1486314623730466,0.019573113055839336,0.23806917901359215
115,-0.11466719260931861,-0.1496175368008672,0.04340895145342527,0.24359739032465294
116,-0.1545264263408081,-0.14659840361145401,0.031931211002135404,0.24947732798245462
117,-0.16094633057961238,-0.15799913472385216,0.0034727083830440597,0.25570318919842255
118,-0.17525994111906829,-0.14034439853485636,-0.02060193204475602,0.26226882979919397
119,-0.15222053853684206,-0.11165769950960128,-0.06360224160946701,0.2691677702901752
